Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001253846.2|GMDS|chr6|-	457218.6	1624080	chr6:1623806-1624231	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	NA	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	NA	1.00	NA	NA	NA	NA	NA	NA	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	NA	NA	NA	NA	1.00	1.00	1.00	NA	NA	NA	NA	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	NA	NA	NA	1.00	NA	1.00
NM_001326380.2|HEBP2|chr6|+	545.3	138413154	chr6:138412880-138422043	0.01	0.02	0.02	0.01	0.01	0.01	0.01	NA	NA	0.01	NA	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.00	NA	NA	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	NA	0.01	0.01	NA	NA	0.01	0.01	0.01	0.01	0.02	NA	NA	0.03	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	NA	NA	NA	0.02	0.01	0.01	0.01	0.01	0.01
NR_104454.1|TMEM14B|chr6|+	3647.2	10756628	chr6:10756467-10756981	1.00	1.00	1.00	1.00	0.76	0.96	1.00	1.00	0.58	1.00	NA	1.00	0.47	1.00	1.00	0.60	0.54	0.75	0.99	0.78	0.73	0.76	1.00	0.80	1.00	0.43	0.01	0.60	0.85	0.45	0.64	0.78	0.52	1.00	1.00	1.00	NA	1.00	1.00	0.73	1.00	1.00	1.00	1.00	0.72	1.00	1.00	1.00	1.00	0.73	0.82	0.60	0.65	0.60	0.62	0.58	0.71	0.80	0.95	1.00	1.00	0.72	0.57	0.73	0.65	0.68	0.77
XM_005248995.4|FBXO9|chr6|+	424.1	53097888	chr6:53097722-53098375	NA	NA	NA	NA	NA	NA	0.67	0.39	NA	0.71	NA	NA	NA	NA	NA	0.51	0.60	0.48	0.49	0.32	NA	NA	0.48	0.45	NA	NA	NA	0.34	0.49	0.27	0.42	0.47	0.37	NA	0.53	0.29	0.71	NA	NA	NA	0.70	NA	NA	0.74	0.44	0.64	NA	NA	NA	NA	0.64	0.49	0.59	NA	0.62	0.52	0.65	0.41	NA	NA	NA	NA	NA	0.46	0.64	NA	0.43
NM_033481.3|FBXO9|chr6|+	2595.2	53098373	chr6:53097722-53100873	NA	NA	NA	NA	NA	NA	0.02	0.03	NA	0.02	NA	NA	NA	NA	NA	0.03	0.02	0.02	0.02	0.01	NA	NA	0.01	0.01	NA	NA	NA	0.01	0.01	0.02	0.02	0.02	0.03	NA	0.01	0.00	0.02	NA	NA	NA	0.01	NA	NA	0.01	0.02	0.02	NA	NA	NA	NA	0.01	0.01	0.02	NA	0.02	0.02	0.02	0.02	NA	NA	NA	NA	NA	0.03	0.01	NA	0.01
NM_001370349.2|PHF3|chr6|+	527.6	63714509	chr6:63711586-63719980	NA	NA	NA	0.04	0.04	NA	NA	0.06	0.03	0.06	NA	NA	0.02	0.04	NA	0.05	0.08	NA	0.06	0.04	0.07	0.02	NA	NA	NA	NA	0.05	0.02	0.04	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	0.04	0.05	NA	0.06	0.06	0.05	0.02	0.04	0.04	0.06	0.05	0.07	0.09	0.06	0.03	NA	NA	NA	NA	NA	NA
XM_005248703.4|PHF3|chr6|+	1175.1	63711737	chr6:63711586-63715305	NA	NA	NA	0.61	0.55	NA	NA	0.54	0.35	0.60	NA	NA	0.66	0.43	NA	0.47	0.59	NA	0.79	0.69	0.35	0.48	NA	NA	NA	NA	0.11	0.62	0.75	NA	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	0.54	0.49	NA	0.35	0.61	0.45	0.55	0.36	0.54	0.52	0.39	0.32	0.41	0.58	0.26	NA	NA	NA	NA	NA	NA
XM_006715426.3|PHF3|chr6|+	1129.2	63711737	chr6:63711586-63715479	NA	NA	NA	0.58	0.53	NA	NA	0.52	0.33	0.58	NA	NA	0.63	0.41	NA	0.45	0.57	NA	0.75	0.66	0.33	0.46	NA	NA	NA	NA	0.10	0.59	0.71	NA	0.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	0.52	0.47	NA	0.33	0.58	0.43	0.53	0.34	0.52	0.50	0.37	0.31	0.39	0.56	0.25	NA	NA	NA	NA	NA	NA
NM_001350532.2|SNX14|chr6|-	21949.6	85505799	chr6:85505496-85506005	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.00	NA	NA	NA	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.00	0.00	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.01
XM_024446499.1|SNX14|chr6|-	129703.9	85505854	chr6:85505798-85506005	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
