Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
XM_024449009.1|ERGIC2|chr12|-	134.5	29340708	chr12:29336544-29341218	0.07	NA	NA	0.05	NA	NA	0.03	NA	NA	0.04	NA	0.04	NA	NA	NA	0.05	0.04	0.02	0.03	NA	0.04	0.03	NA	0.03	0.11	NA	NA	0.03	NA	0.03	0.02	NA	0.02	0.04	NA	NA	NA	0.03	NA	NA	NA	NA	0.02	NA	NA	NA	0.05	NA	NA	0.03	0.02	0.02	0.02	0.04	0.03	NA	NA	0.04	NA	0.06	0.03	NA	NA	0.03	0.03	NA	NA
NM_016570.3|ERGIC2|chr12|-	162.2	29340708	chr12:29337352-29341218	0.09	NA	NA	0.07	NA	NA	0.04	NA	NA	0.05	NA	0.05	NA	NA	NA	0.06	0.05	0.03	0.04	NA	0.05	0.04	NA	0.04	0.14	NA	NA	0.04	NA	0.03	0.03	NA	0.02	0.06	NA	NA	NA	0.03	NA	NA	NA	NA	0.03	NA	NA	NA	0.06	NA	NA	0.04	0.02	0.03	0.03	0.04	0.04	NA	NA	0.05	NA	0.07	0.04	NA	NA	0.03	0.03	NA	NA
NM_001128914.2|PCBP2|chr12|+	530296.3	53479605	chr12:53479406-53479669	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
XM_006719430.3|CNOT2|chr12|+	780.7	70353980	chr12:70353829-70354650	0.04	0.06	0.11	0.04	0.08	0.02	0.04	0.02	0.04	0.02	0.05	0.05	0.04	0.07	0.04	0.05	0.02	0.02	0.02	0.06	0.07	0.05	0.01	0.05	0.13	0.00	0.00	0.06	0.04	0.07	0.04	0.02	0.04	0.06	0.07	0.04	0.07	0.02	0.02	0.02	0.06	0.02	0.07	0.04	0.02	0.05	0.04	0.11	0.04	0.03	0.04	0.04	0.04	0.08	0.01	0.03	0.05	0.05	0.04	0.06	0.03	0.03	0.05	0.03	0.03	0.01	0.03
XM_011538400.3|CNOT2|chr12|+	597.2	70353980	chr12:70353829-70354913	0.06	0.09	0.13	0.04	0.07	0.03	0.05	0.06	0.04	0.03	0.05	0.07	0.04	0.07	0.03	0.06	0.04	0.04	0.05	0.05	0.11	0.05	0.03	0.06	0.09	0.00	0.00	0.08	0.07	0.07	0.05	0.04	0.05	0.09	0.09	0.06	0.07	0.03	0.04	0.04	0.05	0.04	0.07	0.05	0.03	0.04	0.04	0.11	0.05	0.05	0.07	0.04	0.05	0.08	0.03	0.05	0.07	0.06	0.04	0.06	0.02	0.03	0.05	0.03	0.05	0.02	0.03
XM_017019353.1|CNOT2|chr12|+	557.5	70353980	chr12:70353829-70354993	0.06	0.10	0.12	0.05	0.07	0.04	0.05	0.06	0.04	0.04	0.06	0.07	0.04	0.08	0.04	0.06	0.05	0.04	0.05	0.06	0.11	0.06	0.04	0.06	0.08	0.00	0.00	0.08	0.07	0.07	0.06	0.04	0.05	0.09	0.10	0.06	0.08	0.03	0.04	0.04	0.06	0.04	0.07	0.06	0.03	0.05	0.04	0.10	0.05	0.05	0.08	0.05	0.05	0.08	0.03	0.05	0.08	0.07	0.04	0.06	0.03	0.03	0.05	0.03	0.06	0.03	0.03
NM_001143789.2|PPHLN1|chr12|+	22792.6	42441961	chr12:42441315-42442181	0.04	NA	NA	0.02	0.01	0.01	0.01	0.01	0.02	0.01	NA	NA	0.01	0.03	0.01	0.02	0.01	0.01	0.01	0.01	0.04	0.01	NA	0.05	NA	0.01	NA	0.02	0.03	0.02	0.01	0.02	0.01	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	0.04	NA	0.01	0.01	0.01	0.02	0.03	0.01	0.01	0.04	0.02	0.01	0.01	0.03	0.01	0.01	0.00	0.03	0.02	0.01	0.02	0.01	0.01
NM_006431.3|CCT2|chr12|+	666696.0	69601446	chr12:69601295-69601570	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001244992.1|PPP1R12A|chr12|-	52.9	79775864	chr12:79773563-79776015	0.10	NA	NA	0.11	0.04	0.07	0.11	0.07	NA	0.07	NA	0.10	NA	NA	NA	0.16	0.07	0.07	0.17	0.07	0.10	0.07	0.11	0.07	NA	NA	0.01	0.05	0.10	0.04	0.03	0.05	0.05	NA	NA	NA	0.11	0.09	0.10	NA	0.08	0.13	0.04	NA	0.05	0.13	NA	NA	NA	0.11	0.10	0.12	0.13	0.07	0.06	0.09	0.13	0.05	0.07	NA	NA	0.06	0.02	0.03	0.04	0.05	0.04
NM_001143886.2|PPP1R12A|chr12|-	52.1	79775864	chr12:79773568-79776015	0.10	NA	NA	0.11	0.03	0.07	0.11	0.07	NA	0.07	NA	0.10	NA	NA	NA	0.16	0.06	0.07	0.17	0.06	0.09	0.07	0.10	0.07	NA	NA	0.01	0.04	0.10	0.04	0.03	0.05	0.04	NA	NA	NA	0.10	0.08	0.10	NA	0.07	0.12	0.03	NA	0.04	0.13	NA	NA	NA	0.11	0.09	0.11	0.13	0.07	0.06	0.08	0.13	0.05	0.07	NA	NA	0.06	0.02	0.03	0.04	0.04	0.04
NM_001330242.2|ACSS3|chr12|+	551.0	81255025	chr12:81254857-81257975	NA	0.18	0.18	0.26	NA	NA	NA	NA	NA	NA	NA	0.24	0.26	NA	NA	0.39	0.47	0.26	0.23	NA	0.32	0.32	0.24	0.27	0.27	NA	NA	0.18	0.23	NA	0.17	0.22	0.17	0.24	0.10	0.16	NA	NA	NA	NA	NA	NA	NA	0.20	NA	NA	0.30	NA	0.14	0.37	0.43	NA	0.34	NA	0.36	0.31	0.43	0.31	NA	NA	NA	NA	0.22	0.20	0.18	NA	0.21
NM_024057.4|NUP37|chr12|-	1416.4	102074189	chr12:102073103-102074467	0.00	0.00	0.00	0.00	0.01	NA	0.00	0.00	NA	0.00	0.00	0.00	NA	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	NA	0.01	NA	NA	NA	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.00	NA	0.00	0.00	0.00	0.00	0.01	0.00	NA	0.01	0.00	0.00	0.01	0.01	0.01	0.00	0.00	NA	0.00	0.00	NA	NA	NA	0.00	0.00	0.00	0.01	0.00	0.00
XR_944712.2|NUP37|chr12|-	3834.7	102074189	chr12:102073962-102074467	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	NA	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	NA	0.00	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	NA	0.00	0.00	NA	NA	NA	0.00	0.00	0.00	0.02	0.00	0.00
NM_003299.3|HSP90B1|chr12|+	15900011.4	103947784	chr12:103947633-103947926	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001282150.2|VPS29|chr12|-	5290.4	110491926	chr12:110491083-110492122	0.14	0.16	0.11	0.16	0.13	0.14	0.15	0.11	0.15	0.10	0.13	0.12	0.11	0.08	0.11	0.14	0.15	0.15	0.14	0.13	0.15	0.14	0.20	0.15	NA	NA	NA	0.16	0.13	0.20	0.13	0.16	0.10	0.11	0.06	0.08	0.12	0.10	0.13	0.13	0.17	0.13	0.15	0.16	0.15	0.08	0.10	0.10	0.11	0.10	0.13	0.14	0.14	0.17	0.13	0.09	0.12	0.09	0.16	0.15	0.20	0.10	0.14	0.12	0.09	0.16	0.12
XM_017019457.2|VPS29|chr12|-	8309.5	110491926	chr12:110491525-110492122	0.22	0.27	0.17	0.26	0.22	0.25	0.25	0.17	0.25	0.17	0.20	0.21	0.17	0.13	0.18	0.24	0.26	0.23	0.24	0.22	0.25	0.23	0.33	0.26	NA	NA	NA	0.27	0.22	0.33	0.23	0.27	0.17	0.18	0.10	0.15	0.20	0.17	0.22	0.23	0.28	0.22	0.24	0.26	0.26	0.14	0.18	0.15	0.18	0.17	0.21	0.23	0.23	0.27	0.21	0.16	0.19	0.15	0.21	0.25	0.35	0.17	0.25	0.21	0.16	0.26	0.21
XM_017019459.2|VPS29|chr12|-	8307.8	110491926	chr12:110491527-110492122	0.21	0.27	0.17	0.25	0.22	0.24	0.24	0.17	0.25	0.17	0.19	0.21	0.17	0.13	0.18	0.24	0.25	0.23	0.23	0.21	0.24	0.23	0.32	0.25	NA	NA	NA	0.26	0.22	0.33	0.23	0.27	0.16	0.17	0.10	0.14	0.20	0.17	0.21	0.23	0.28	0.22	0.24	0.25	0.25	0.14	0.17	0.15	0.17	0.16	0.21	0.23	0.22	0.27	0.20	0.15	0.18	0.14	0.21	0.24	0.34	0.16	0.25	0.21	0.15	0.25	0.20
XM_011538503.1|TESC|chr12|-	64920.2	117039059	chr12:117038923-117039210	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001346489.2|TAOK3|chr12|-	1189.0	118150956	chr12:118149801-118151158	NA	NA	NA	NA	NA	NA	0.01	0.01	NA	0.01	NA	0.01	0.02	0.04	0.02	0.02	0.02	0.02	0.03	0.02	0.01	0.01	NA	0.01	0.06	0.01	NA	0.01	NA	NA	0.02	0.01	0.01	0.02	NA	NA	0.01	NA	0.01	NA	0.02	NA	NA	0.01	0.01	0.01	NA	NA	0.03	0.02	NA	NA	0.02	NA	NA	NA	0.02	0.01	0.03	0.02	NA	0.01	0.02	0.01	0.01	NA	0.01
NM_001346493.2|TAOK3|chr12|-	115.9	118149930	chr12:118149801-118150082	0.08	0.11	0.18	NA	NA	NA	NA	0.03	NA	0.08	0.20	0.11	0.10	NA	NA	0.08	0.26	0.11	0.09	0.03	0.13	0.14	0.05	0.05	NA	NA	0.10	0.05	0.05	0.22	0.12	0.12	0.10	0.07	0.15	NA	0.33	NA	NA	NA	0.18	NA	0.09	NA	0.07	0.13	0.03	NA	NA	0.06	0.20	0.09	0.03	NA	0.21	0.14	0.11	0.13	0.16	NA	0.04	NA	0.14	0.27	NA	NA	NA
XM_005253898.2|TAOK3|chr12|-	1314.7	118150956	chr12:118149932-118151158	NA	NA	NA	NA	NA	NA	0.01	0.01	NA	0.01	NA	0.01	0.01	0.04	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	NA	0.01	0.07	0.01	NA	0.01	NA	NA	0.01	0.01	0.00	0.02	NA	NA	0.01	NA	0.00	NA	0.01	NA	NA	0.00	0.01	0.01	NA	NA	0.03	0.01	NA	NA	0.01	NA	NA	NA	0.02	0.01	0.04	0.02	NA	0.00	0.02	0.00	0.01	NA	0.01
XM_017020254.2|KNTC1|chr12|+	1639.4	122626359	chr12:122626205-122626409	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	NA	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
