Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NR_029426.1|GUSBP14|chr5|-	127.5	70139569	chr5:70138862-70139720	NA	NA	NA	NA	NA	NA	0.03	NA	0.04	0.04	NA	NA	NA	NA	NA	0.02	0.03	0.02	0.03	NA	0.02	0.02	NA	NA	NA	0.11	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	0.02	0.04	NA	NA	NA	0.07	0.07	0.03	0.03	0.04	NA	NA	NA	0.03	NA	NA	0.03	NA	NA	NA	NA	NA	0.14	0.19	NA	0.02	0.03	0.01	0.02	NA	NA
NM_001199292.2|HSD17B4|chr5|+	11012.5	119542056	chr5:119541905-119542332	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
NM_181501.2|ITGA1|chr5|+	115.4	52952558	chr5:52952407-52959209	NA	0.08	NA	0.13	0.14	0.15	0.14	0.18	0.14	NA	NA	0.10	NA	NA	NA	0.15	0.13	0.13	0.15	0.07	0.09	0.07	0.12	0.11	NA	NA	NA	0.10	0.12	0.07	0.08	0.07	0.10	0.11	0.11	NA	0.22	0.14	0.16	NA	0.12	0.10	0.15	0.14	0.13	0.17	NA	NA	NA	0.15	0.19	0.09	0.10	0.08	0.13	0.13	0.10	0.10	NA	NA	0.07	0.10	NA	0.09	0.08	NA	0.11
NM_001318051.2|NDUFS4|chr5|+	30220.2	53683285	chr5:53683118-53683338	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_002184.4|IL6ST|chr5|-	3199.7	55941668	chr5:55935095-55941819	NA	NA	NA	0.56	0.36	0.46	0.42	0.43	0.35	0.31	NA	NA	0.39	NA	NA	0.34	0.32	0.41	0.48	0.40	0.49	0.41	NA	0.33	NA	NA	0.05	0.42	0.51	0.45	0.59	0.45	NA	NA	NA	NA	0.46	0.45	0.72	0.50	0.62	0.70	0.45	NA	0.47	0.73	NA	NA	NA	0.42	0.52	0.29	0.30	0.31	0.28	0.18	0.37	0.30	0.18	0.15	0.28	NA	NA	0.41	0.52	NA	0.65
NM_173829.4|SREK1IP1|chr5|-	74.6	64724422	chr5:64718190-64724573	0.09	0.09	0.10	0.09	0.06	0.05	0.05	0.11	0.08	0.06	NA	0.07	NA	0.28	NA	0.10	0.06	0.07	0.06	0.10	0.11	0.07	0.05	0.10	0.04	0.15	NA	0.07	0.07	0.06	0.06	0.07	0.05	0.10	0.14	NA	0.07	0.06	0.09	0.12	0.11	0.09	0.05	0.07	0.04	0.10	NA	NA	NA	0.06	0.09	0.08	0.08	0.08	0.08	0.07	0.10	0.09	0.06	0.10	0.14	0.10	0.09	0.06	0.10	0.04	0.06
XM_011543344.3|SREK1IP1|chr5|-	74.6	64724422	chr5:64718190-64724573	0.09	0.09	0.10	0.09	0.06	0.05	0.05	0.11	0.08	0.06	NA	0.07	NA	0.28	NA	0.10	0.06	0.07	0.06	0.10	0.11	0.07	0.05	0.10	0.04	0.15	NA	0.07	0.07	0.06	0.06	0.07	0.05	0.10	0.14	NA	0.07	0.06	0.09	0.12	0.11	0.09	0.05	0.07	0.04	0.10	NA	NA	NA	0.06	0.09	0.08	0.08	0.08	0.08	0.07	0.10	0.09	0.06	0.10	0.14	0.10	0.09	0.06	0.10	0.04	0.06
NR_157804.1|LOC101929599|chr5|-	324.4	70778924	chr5:70774092-70779086	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.00
XM_017009403.2|GTF2H2|chr5|-	896.5	71035584	chr5:71035343-71035796	0.46	0.61	0.49	0.42	0.42	0.33	0.39	0.42	0.44	0.34	0.31	0.40	0.16	0.33	0.33	0.65	0.59	0.48	0.62	0.40	0.63	0.69	0.82	0.69	NA	NA	NA	0.65	0.50	0.51	0.52	0.48	0.50	0.53	0.35	0.63	0.39	0.37	0.52	0.47	0.46	0.47	0.46	0.47	0.45	0.39	0.25	0.50	0.30	0.35	0.50	0.69	0.49	0.39	0.47	0.45	0.45	0.44	0.37	0.60	0.21	0.39	0.29	0.49	0.42	0.56	0.61
NM_001395392.1|GTF2H2|chr5|-	900.3	71035584	chr5:71035347-71035796	0.46	0.61	0.48	0.42	0.42	0.32	0.39	0.42	0.44	0.34	0.30	0.40	0.16	0.34	0.32	0.64	0.58	0.47	0.62	0.40	0.61	0.68	0.81	0.69	NA	NA	NA	0.65	0.50	0.50	0.52	0.48	0.50	0.53	0.35	0.62	0.39	0.37	0.52	0.47	0.46	0.47	0.46	0.47	0.45	0.39	0.25	0.50	0.30	0.35	0.50	0.69	0.49	0.39	0.47	0.45	0.45	0.44	0.36	0.59	0.21	0.39	0.29	0.48	0.41	0.55	0.60
