Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_021999.5|ITM2B|chr13|+	12796.8	48261874	chr13:48261139-48270357	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	NA	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	NA	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	NA	0.01	0.01	0.01	0.01	0.01	0.01
NM_001393355.1|CLYBL|chr13|+	330.0	99892594	chr13:99892443-99892722	0.13	0.02	NA	0.06	0.23	0.15	0.07	0.16	0.16	0.02	0.00	0.07	0.00	0.05	0.02	0.09	0.03	0.15	0.10	0.10	0.06	0.21	0.15	0.02	NA	NA	0.00	0.09	0.03	0.02	0.06	0.01	NA	0.06	NA	0.04	0.08	0.06	0.20	0.05	0.01	0.07	0.09	0.07	0.09	0.01	NA	NA	0.00	0.10	0.19	0.01	0.08	0.00	0.06	0.01	0.12	0.03	0.00	NA	NA	NA	NA	0.06	0.08	NA	0.06
XM_011535097.2|MIPEP|chr13|-	3269.4	23730294	chr13:23730189-23730445	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	NA	1.00	1.00	NA	NA	NA	NA	NA	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001370340.1|HMGB1|chr13|-	97332.5	30460893	chr13:30456704-30461533	0.13	0.13	0.12	0.15	0.13	0.13	0.13	0.12	0.12	0.13	0.16	0.15	0.13	0.09	0.11	0.10	0.09	0.12	0.10	0.11	0.09	0.09	0.09	0.10	0.09	0.09	0.04	0.07	0.08	0.08	0.09	0.08	0.08	0.11	0.14	0.07	0.15	0.10	0.16	0.12	0.16	0.13	0.10	0.16	0.15	0.16	0.11	0.09	0.10	0.11	0.09	0.08	0.08	0.09	0.12	0.08	0.09	0.08	0.08	0.07	0.08	0.09	0.11	0.09	0.09	0.08	0.08
NM_001313893.1|HMGB1|chr13|-	128975.1	30460893	chr13:30457916-30461533	0.18	0.18	0.17	0.21	0.18	0.19	0.18	0.17	0.17	0.18	0.22	0.21	0.19	0.13	0.16	0.14	0.12	0.16	0.14	0.16	0.13	0.13	0.13	0.14	0.12	0.12	0.05	0.10	0.12	0.11	0.13	0.12	0.11	0.16	0.20	0.10	0.22	0.15	0.23	0.17	0.23	0.19	0.15	0.22	0.21	0.22	0.16	0.13	0.15	0.16	0.13	0.11	0.12	0.12	0.17	0.11	0.12	0.11	0.11	0.09	0.11	0.12	0.15	0.12	0.12	0.11	0.12
NM_013338.5|ALG5|chr13|-	14944.2	36949839	chr13:36949738-36950057	0.06	0.08	0.10	0.08	0.10	0.09	0.05	0.09	0.05	0.09	0.05	0.07	0.03	0.08	0.10	0.06	0.09	0.08	0.08	0.07	0.14	0.09	0.07	0.08	NA	NA	NA	0.10	0.08	0.08	0.05	0.08	0.11	0.11	0.06	0.14	0.06	0.09	0.10	0.08	0.08	0.08	0.09	0.08	0.03	0.06	0.04	0.13	0.08	0.08	0.05	0.09	0.08	0.06	0.10	0.06	0.11	0.10	NA	0.17	NA	0.07	0.08	0.06	0.05	0.06	0.12
NM_001142364.1|ALG5|chr13|-	16572.2	36949840	chr13:36949770-36950057	0.14	0.17	0.23	0.19	0.21	0.19	0.14	0.19	0.12	0.19	0.15	0.17	0.11	0.18	0.18	0.18	0.20	0.19	0.21	0.18	0.25	0.19	0.16	0.18	NA	NA	NA	0.20	0.15	0.15	0.15	0.18	0.21	0.24	0.15	0.26	0.16	0.19	0.20	0.19	0.19	0.17	0.17	0.17	0.10	0.13	0.13	0.24	0.17	0.15	0.13	0.22	0.18	0.16	0.18	0.16	0.24	0.19	NA	0.24	NA	0.16	0.18	0.15	0.13	0.15	0.20
XM_017020552.1|ALG5|chr13|-	55973.4	36949891	chr13:36949838-36950057	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00
XR_001749540.2|ALG5|chr13|-	60287.2	36949899	chr13:36949848-36950057	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00
NM_002015.4|FOXO1|chr13|-	737.4	40558883	chr13:40555667-40559034	0.01	0.03	0.01	0.01	0.00	0.01	0.00	0.01	0.01	0.00	0.01	0.02	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.02	0.01	0.02	0.02	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01
