Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001008712.3|RBPMS|chr8|+	23147.2	30547464	chr8:30547292-30547519	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	NA	1.00	1.00	NA	1.00
XM_017012992.2|RBPMS|chr8|+	22076.4	30547468	chr8:30547292-30547524	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	NA	1.00	1.00	NA	1.00
NM_001008710.3|RBPMS|chr8|+	2273.7	30570788	chr8:30570637-30572256	0.02	0.03	0.02	0.03	0.01	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	NA	0.02	NA	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.03	0.02	0.02	0.04	0.03	0.02	0.02	0.03	0.02	0.03	0.05	0.05	0.02	0.02	0.02	0.02	0.02	0.01	0.04	0.02	0.02	0.04	0.06	0.03	0.02	0.02	0.02	0.02	0.01	0.01
XM_017012987.2|RBPMS|chr8|+	2266.7	30570788	chr8:30570637-30572261	0.02	0.03	0.02	0.03	0.01	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	NA	0.02	NA	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.03	0.02	0.02	0.04	0.03	0.02	0.02	0.03	0.02	0.03	0.05	0.05	0.02	0.02	0.02	0.02	0.02	0.01	0.04	0.02	0.02	0.04	0.06	0.03	0.02	0.02	0.02	0.02	0.01	0.01
NM_001287744.2|FDFT1|chr8|+	364455.0	11838968	chr8:11838388-11839298	0.23	0.20	0.22	0.23	0.15	0.19	0.20	0.20	0.17	0.19	0.25	0.20	0.14	0.27	NA	0.21	0.16	0.20	0.20	0.20	0.19	0.18	0.15	0.17	NA	0.31	NA	0.14	0.17	0.13	0.12	0.14	0.17	0.20	NA	0.23	0.24	0.24	0.24	0.19	0.26	0.20	0.21	0.26	0.15	0.19	NA	0.21	NA	0.24	0.19	0.18	0.21	0.19	0.20	0.19	0.20	0.16	0.34	0.32	NA	0.24	0.18	0.16	0.17	0.16	0.16
XM_017013480.1|PCM1|chr8|+	1198.8	18027788	chr8:18027637-18029948	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.02	0.02	0.03	0.03	0.03	0.05	0.07	0.06	0.03	0.02	0.03	0.02	0.02	0.03	0.03	0.03	0.02	0.10	0.05	0.06	0.01	0.02	0.02	0.02	0.01	0.02	0.05	0.02	0.01	0.03	0.02	0.04	0.06	0.05	0.03	0.03	0.03	0.03	0.03	0.10	0.09	0.10	0.03	0.02	0.04	0.02	0.02	0.02	0.04	0.03	0.02	0.09	0.04	0.09	0.02	0.02	0.03	0.02	0.02	0.02
XM_017013490.2|PCM1|chr8|+	6787.1	18027788	chr8:18027637-18027975	0.06	0.03	0.09	0.08	0.01	0.05	0.05	0.04	0.02	0.02	0.07	0.06	0.04	0.12	0.07	0.05	0.05	0.06	0.04	0.04	0.04	0.05	0.04	0.03	0.00	0.00	0.03	0.02	0.05	0.03	0.03	0.01	0.03	0.07	0.05	0.07	0.06	0.06	0.08	0.10	0.07	0.06	0.05	0.08	0.04	0.08	0.11	0.17	0.12	0.07	0.04	0.07	0.03	0.04	0.03	0.06	0.07	0.03	0.06	0.01	0.05	0.02	0.02	0.03	0.04	0.04	0.04
NM_014018.3|MRPS28|chr8|-	1173.9	79918857	chr8:79918717-79919148	NA	0.38	NA	0.35	NA	NA	0.27	0.26	NA	0.37	NA	0.32	NA	0.28	NA	0.26	NA	0.26	0.39	NA	NA	NA	NA	0.41	NA	NA	NA	0.35	0.32	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	0.28	0.32	0.39	0.31	NA	NA	NA	0.35	NA	NA	0.13	NA	NA	NA	NA	0.31	NA	0.22
XM_017013527.2|RMDN1|chr8|-	65.2	86474207	chr8:86472349-86474358	0.03	0.03	0.01	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.00	0.02	0.02	0.04	0.04	0.02	0.03	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.04	NA	0.12	0.03	0.02	0.02	0.03	0.01	0.02	0.03	0.01	0.02	0.02	0.01	0.02	0.04	0.01	0.01	0.02	0.02	0.02	0.05	NA	0.05	0.03	0.04	0.02	0.05	0.04	0.04	0.03	0.03	0.02	0.03	0.02	NA	NA	0.02	0.02	0.03	0.03	0.02	0.03
NM_001359.2|DECR1|chr8|+	618.1	90052002	chr8:90051838-90053633	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
