Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001318825.2|HEXA|chr15|-	1325.3	72343866	chr15:72340924-72344140	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	NA	0.03	NA	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
NM_022806.5|SNRPN|chr15|+	440539.2	24978582	chr15:24978407-24978723	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.00	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
NM_001354507.2|UBE3A|chr15|-	575.6	25339106	chr15:25333728-25339257	0.10	0.13	0.13	0.09	0.07	0.07	0.09	0.15	0.09	0.07	0.16	0.12	0.08	0.10	0.11	0.09	0.08	0.10	0.11	0.08	0.12	0.08	0.08	0.10	0.02	0.03	0.05	0.07	0.11	0.09	0.07	0.07	0.07	0.14	0.12	0.12	0.09	0.07	0.09	0.09	0.11	0.11	0.09	0.10	0.08	0.13	0.10	0.13	0.12	0.11	0.09	0.08	0.10	0.10	0.14	0.06	0.12	0.07	0.06	0.09	0.07	0.09	0.09	0.08	0.10	0.07	0.09
NM_001374461.1|UBE3A|chr15|-	564.9	25339106	chr15:25337228-25339257	0.10	0.18	0.16	0.11	0.09	0.06	0.09	0.14	0.10	0.07	0.17	0.12	0.06	0.06	0.11	0.11	0.10	0.13	0.12	0.09	0.15	0.10	0.11	0.12	0.05	0.01	0.04	0.11	0.15	0.11	0.08	0.08	0.09	0.12	0.14	0.13	0.10	0.08	0.10	0.11	0.13	0.12	0.09	0.10	0.08	0.12	0.07	0.09	0.09	0.11	0.10	0.09	0.15	0.12	0.13	0.07	0.15	0.08	0.04	0.05	0.03	0.10	0.09	0.10	0.12	0.08	0.09
NM_001354526.1|UBE3A|chr15|-	566.4	25339106	chr15:25337234-25339257	0.10	0.18	0.16	0.11	0.09	0.06	0.09	0.14	0.10	0.07	0.17	0.12	0.06	0.06	0.11	0.11	0.10	0.13	0.12	0.09	0.15	0.10	0.11	0.12	0.05	0.01	0.04	0.11	0.15	0.11	0.08	0.08	0.09	0.12	0.14	0.13	0.09	0.08	0.10	0.11	0.13	0.12	0.09	0.10	0.08	0.12	0.07	0.09	0.09	0.11	0.10	0.09	0.15	0.12	0.13	0.07	0.15	0.08	0.04	0.05	0.03	0.10	0.09	0.10	0.12	0.08	0.09
XM_011521995.3|UBE3A|chr15|-	569.5	25339106	chr15:25337247-25339257	0.10	0.18	0.16	0.11	0.09	0.06	0.09	0.14	0.10	0.07	0.17	0.11	0.06	0.06	0.11	0.11	0.10	0.13	0.12	0.09	0.15	0.10	0.11	0.12	0.05	0.01	0.04	0.11	0.15	0.11	0.08	0.08	0.09	0.12	0.14	0.13	0.09	0.08	0.10	0.11	0.13	0.12	0.09	0.10	0.08	0.12	0.07	0.09	0.09	0.11	0.10	0.09	0.15	0.12	0.13	0.07	0.15	0.08	0.04	0.05	0.03	0.10	0.09	0.10	0.11	0.08	0.09
NM_080650.4|DPH6|chr15|-	31.2	35372052	chr15:35370880-35372203	0.00	0.00	NA	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	NA	0.00	NA	NA	0.00	0.00	NA	0.00	NA	NA	NA	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	NA	NA	NA	NA	NA	0.00	NA	NA	0.01	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	NA	0.01	NA	NA	NA	NA	0.00	NA	0.00	0.00	0.00	0.00
NM_001199877.2|SERF2|chr15|+	7554567.1	43794046	chr15:43793759-43794162	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.01	NA	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
NM_000236.3|LIPC|chr15|+	644.0	58568874	chr15:58568716-58569844	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.04	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	NA	0.00	NA	0.02	0.02	0.02	0.01	0.00	0.01	0.02	NA	0.01	0.01	0.01	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.04	0.03	0.02	0.01	0.03	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.03	0.01	0.00	0.01	0.01	0.02
NR_120338.1|LIPC-AS1|chr15|-	74.8	58436761	chr15:58434901-58436912	NA	NA	NA	NA	0.01	0.00	0.00	NA	0.00	0.01	NA	NA	NA	NA	NA	0.00	NA	NA	0.01	NA	NA	NA	NA	0.00	0.00	0.00	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.01	NA	NA	NA	NA	0.00	0.00	0.00	0.00	NA	NA	NA	0.00	0.01	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	NA	0.00	NA	NA	NA
