Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_003915.6|CPNE1|chr20|-	52314.1	35626230	chr20:35626044-35626381	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	NA	NA	1.00	1.00	NA	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
NR_003605.2|ZFAS1|chr20|+	958697.1	49289208	chr20:49289045-49289260	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_021156.4|TMX4|chr20|-	37.1	7982470	chr20:7977346-7982621	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	0.09	0.11	0.11	0.23	NA	NA	0.15	NA	NA	NA	NA	NA	NA	0.00	0.11	0.12	0.12	0.12	0.10	0.11	0.09	NA	NA	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	NA	0.12	NA	NA	0.12	NA	0.16	0.16	0.11	NA	0.05	0.05	0.07	0.05	0.11	0.08	0.12	0.06	0.07
NM_014426.4|SNX5|chr20|-	36902.3	17942213	chr20:17941600-17942407	0.13	0.09	0.08	0.10	0.06	0.08	0.09	0.08	0.06	0.10	0.11	0.09	0.14	0.18	0.17	0.08	0.06	0.08	0.09	0.06	0.09	0.06	0.06	0.06	0.28	0.39	0.09	0.04	0.06	0.03	0.03	0.03	0.04	0.16	0.08	0.12	0.13	0.11	0.12	0.10	0.12	0.12	0.11	0.13	0.10	0.11	0.33	0.22	0.17	0.12	0.11	0.09	0.09	0.07	0.08	0.08	0.09	0.06	0.19	0.20	0.14	0.07	0.05	0.04	0.05	0.05	0.06
NM_016652.6|CRNKL1|chr20|-	756.6	20036142	chr20:20034368-20036362	NA	NA	NA	NA	NA	NA	0.15	0.14	NA	0.23	NA	NA	NA	NA	NA	0.16	0.15	0.17	0.20	0.15	0.23	0.14	NA	0.12	NA	NA	NA	0.18	0.18	NA	NA	NA	NA	NA	0.09	NA	NA	NA	0.17	NA	NA	NA	NA	NA	0.16	0.19	NA	0.16	NA	0.23	0.16	0.13	0.21	NA	NA	0.14	NA	NA	NA	0.31	0.22	NA	0.17	0.19	0.19	0.19	0.17
XM_006723852.3|RPN2|chr20|+	96617.7	37241454	chr20:37241303-37241619	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	0.67	0.69	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.76	0.78	0.94	1.00	1.00	1.00	1.00	1.00	1.00
XM_006723851.3|RPN2|chr20|+	100436.2	37241454	chr20:37241303-37241623	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.68	0.68	0.71	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.77	0.79	0.95	1.00	1.00	1.00	1.00	1.00	1.00
NM_001324303.2|RPN2|chr20|+	104024.8	37241459	chr20:37241308-37241619	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.73	0.74	0.77	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.82	0.83	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001303459.3|IFT52|chr20|+	3798.3	43647211	chr20:43646936-43647299	1.00	1.00	1.00	NA	NA	NA	1.00	NA	NA	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	0.97	1.00	NA	NA	NA	0.99	1.00	NA	NA	1.00	0.97	1.00	0.97	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	NA	NA	NA	NA	0.90	1.00	0.96	0.93	NA	NA
XM_017027863.2|IFT52|chr20|+	7404.4	43647087	chr20:43646936-43647227	1.00	1.00	1.00	NA	NA	NA	1.00	NA	NA	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	NA	NA
