Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001384548.1|MAP4K4|chr2|+	164552.0	101892017	chr2:101891166-101894690	0.18	0.26	NA	0.26	NA	NA	0.26	0.19	NA	0.28	0.27	0.24	0.20	0.22	0.16	0.26	0.22	0.23	0.26	0.24	0.24	0.26	NA	0.22	NA	0.10	NA	0.22	0.24	NA	0.26	0.24	0.24	0.22	0.23	0.18	0.32	0.23	0.33	NA	0.34	0.21	0.24	0.34	0.28	0.22	0.19	0.22	0.18	0.28	0.23	0.19	0.23	0.25	0.30	0.20	0.20	0.24	0.10	0.10	0.07	0.23	0.27	0.24	0.23	0.22	0.22
XM_005246737.1|RBMS1|chr2|-	529.2	160274482	chr2:160272151-160274764	0.05	0.08	0.12	0.07	0.07	0.09	0.08	0.07	0.07	0.04	0.09	0.12	0.09	0.08	0.06	0.08	0.06	0.07	0.08	0.07	0.07	0.09	0.07	0.09	0.08	0.01	NA	0.09	0.08	0.09	0.08	0.10	0.07	0.10	0.13	0.09	0.07	0.05	0.07	0.12	0.09	0.08	0.05	0.06	0.06	0.06	0.06	0.07	0.07	0.09	0.06	0.05	0.09	0.08	0.09	0.08	0.07	0.07	0.04	0.03	0.06	0.07	0.07	0.09	0.09	0.09	0.08
XM_017003132.2|ABI2|chr2|+	98.7	203427647	chr2:203427496-203431754	0.09	0.05	0.04	0.07	NA	0.06	0.05	0.04	NA	0.09	NA	0.05	0.20	0.17	0.20	0.07	0.05	0.06	0.05	0.07	0.05	0.04	0.05	0.08	NA	NA	NA	0.08	0.04	0.05	0.07	0.06	0.05	0.09	0.04	0.03	0.08	0.05	NA	0.09	0.09	0.06	0.06	0.06	0.10	0.08	0.25	0.19	0.27	0.08	0.09	0.06	0.07	0.07	0.08	0.08	0.06	0.07	0.39	NA	0.08	0.05	0.09	0.06	0.06	0.05	0.06
NM_001375743.1|ABI2|chr2|+	90.5	203427647	chr2:203427496-203432169	0.08	0.04	0.04	0.06	NA	0.06	0.04	0.04	NA	0.08	NA	0.05	0.18	0.16	0.19	0.07	0.05	0.06	0.05	0.06	0.04	0.04	0.05	0.07	NA	NA	NA	0.07	0.04	0.04	0.06	0.06	0.05	0.08	0.04	0.03	0.07	0.05	NA	0.08	0.08	0.05	0.05	0.05	0.09	0.07	0.22	0.17	0.25	0.08	0.08	0.06	0.07	0.06	0.07	0.07	0.06	0.06	0.35	NA	0.07	0.05	0.08	0.05	0.05	0.05	0.06
NM_004939.3|DDX1|chr2|+	16752.1	15630927	chr2:15630776-15631101	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
XM_005264416.2|TTC27|chr2|+	11649.5	32820994	chr2:32820816-32821051	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00
NM_005760.3|CEBPZ|chr2|-	819.4	37201712	chr2:37201612-37201863	0.88	0.81	0.91	0.82	0.31	0.54	0.53	0.85	0.50	0.69	0.67	0.92	0.94	0.88	0.84	0.58	0.72	1.00	0.83	0.76	0.65	0.63	0.82	0.61	1.00	1.00	1.00	0.50	0.65	0.45	0.53	0.57	0.63	0.79	0.72	0.39	0.45	0.85	0.75	0.73	0.98	0.89	0.85	0.64	0.88	0.54	0.59	0.96	0.99	0.64	0.54	0.83	0.72	0.58	0.89	0.56	0.71	0.61	0.47	0.32	0.95	0.77	0.71	0.68	0.45	0.34	0.40
NR_037875.1|MAP4K3-DT|chr2|+	694.8	39600157	chr2:39599366-39601344	NA	NA	NA	NA	NA	NA	0.00	0.00	NA	0.00	NA	NA	0.01	NA	NA	0.00	0.00	0.01	0.01	0.01	0.01	0.00	NA	0.00	0.00	NA	NA	NA	0.00	NA	0.00	0.01	0.00	NA	NA	NA	0.02	NA	NA	NA	NA	0.01	0.00	0.00	0.00	0.01	0.01	NA	NA	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.01	NA	NA	NA	0.00	0.00	0.01	NA	0.01
NM_133259.4|LRPPRC|chr2|-	27239.9	43888274	chr2:43886224-43888656	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.05	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.04	0.04	0.01	0.17	0.04	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.03	0.05	0.05	0.04	0.04	0.03	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.04	0.06	0.05	0.05	0.04	0.03	0.05	0.04	0.05	0.06	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05
XR_002958896.1|LRPPRC|chr2|-	27267.4	43888274	chr2:43886226-43888656	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.05	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.04	0.04	0.01	0.17	0.04	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.03	0.05	0.05	0.04	0.04	0.03	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.04	0.06	0.05	0.05	0.04	0.03	0.05	0.04	0.05	0.06	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05
