Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
XM_006724116.2|CHEK2|chr22|-	6393.5	28687802	chr22:28687743-28687986	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
XM_006724194.2|RBFOX2|chr22|-	33.9	35744077	chr22:35738736-35744249	NA	NA	NA	NA	NA	NA	NA	0.03	NA	0.02	NA	NA	0.04	0.04	0.04	0.04	0.04	0.04	0.03	NA	NA	0.03	NA	0.05	0.01	0.02	0.08	0.04	0.04	NA	0.04	0.04	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	0.08	NA	0.03	0.03	0.04	0.03	NA	0.03	0.04	0.03	0.03	0.03	0.04	0.07	0.04	0.04	0.03	0.02	NA	0.02
XM_006724260.4|EIF3L|chr22|+	1959926.1	37888581	chr22:37888426-37888631	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001363785.2|EIF3L|chr22|+	185214.4	37888630	chr22:37888426-37889407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_197966.3|BID|chr22|-	356.4	17735373	chr22:17734138-17735591	0.03	0.03	0.02	0.01	NA	NA	0.03	NA	NA	0.03	NA	0.03	0.02	0.01	0.02	0.03	0.02	0.04	0.03	NA	0.05	0.03	0.02	0.06	NA	NA	NA	0.02	0.03	0.01	0.03	0.02	0.02	0.02	0.04	0.02	0.04	NA	0.02	NA	NA	NA	NA	0.05	NA	0.04	0.04	0.01	0.02	0.05	0.03	0.04	0.02	NA	0.03	0.02	0.03	0.01	NA	0.02	NA	0.03	0.02	0.03	0.02	0.03	0.02
NM_001244572.1|BID|chr22|-	356.7	17735373	chr22:17734140-17735591	0.03	0.03	0.02	0.01	NA	NA	0.03	NA	NA	0.03	NA	0.03	0.02	0.01	0.02	0.03	0.02	0.04	0.03	NA	0.05	0.03	0.02	0.06	NA	NA	NA	0.02	0.03	0.01	0.03	0.02	0.02	0.02	0.04	0.02	0.04	NA	0.02	NA	NA	NA	NA	0.05	NA	0.04	0.04	0.01	0.02	0.05	0.03	0.04	0.02	NA	0.03	0.02	0.03	0.01	NA	0.02	NA	0.03	0.02	0.03	0.02	0.03	0.02
NM_001166242.2|C22orf39|chr22|-	168.1	19441499	chr22:19440886-19441694	NA	0.08	NA	NA	NA	NA	0.07	NA	NA	0.11	NA	NA	0.05	0.12	0.05	0.08	NA	0.08	0.09	NA	0.05	0.09	0.05	0.06	NA	NA	NA	0.06	0.07	NA	0.06	0.06	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	0.14	0.08	0.04	0.13	0.08	NA	0.09	NA	0.12	NA	NA	NA	0.12	0.02	0.08	NA	0.09	0.06	0.06	NA	0.06
NM_001362910.2|UFD1|chr22|-	3193.2	19450593	chr22:19449911-19450744	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.01	0.00
NM_001278639.2|RANBP1|chr22|+	7742.1	20127181	chr22:20126952-20127355	0.44	0.38	0.26	0.52	0.41	0.33	0.33	0.42	0.31	0.50	0.37	0.36	0.17	0.14	0.19	0.32	0.41	0.26	0.35	0.42	0.42	0.41	0.47	0.34	0.19	NA	NA	0.30	0.20	0.34	0.21	0.30	0.27	0.30	0.27	0.24	0.34	NA	0.31	0.41	0.41	0.33	0.49	0.52	NA	0.29	0.22	0.19	0.16	0.31	0.25	0.27	0.33	0.19	0.24	0.41	0.32	0.35	0.30	0.28	0.13	0.22	0.17	0.27	0.23	0.22	0.22
NM_001278640.2|RANBP1|chr22|+	7428.5	20127181	chr22:20126955-20127355	0.45	0.39	0.26	0.53	0.42	0.34	0.34	0.42	0.33	0.51	0.38	0.37	0.18	0.14	0.19	0.32	0.42	0.27	0.36	0.43	0.42	0.42	0.47	0.35	0.20	NA	NA	0.31	0.21	0.35	0.22	0.31	0.27	0.30	0.28	0.25	0.35	0.37	0.32	0.42	0.42	0.33	0.49	0.52	0.36	0.30	0.22	0.19	0.16	0.32	0.26	0.28	0.34	0.20	0.24	0.42	0.33	0.36	0.30	0.28	0.13	0.22	0.17	0.27	0.23	0.23	0.23
