Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
XM_011518399.3|FNBP1|chr9|-	453.6	129895811	chr9:129895261-129895996	NA	NA	NA	NA	NA	NA	0.09	NA	NA	0.08	NA	NA	NA	0.10	NA	0.09	0.08	NA	0.09	NA	0.07	NA	NA	0.05	NA	0.00	0.03	0.10	0.09	NA	0.13	NA	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08	NA	NA	0.10	NA	NA	NA	0.07	NA	0.04	0.08	0.01	NA	0.07	NA	NA	NA	NA
NM_018491.5|CBWD1|chr9|-	4579.6	121042	chr9:120837-121573	0.03	0.03	0.03	0.01	0.01	0.04	0.03	0.05	0.03	0.05	0.04	0.01	0.03	0.01	NA	0.03	0.02	0.04	0.04	0.02	0.02	0.02	0.03	0.02	NA	NA	NA	0.02	0.04	0.01	0.02	0.01	0.03	0.04	0.06	0.03	0.01	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.02	0.05	0.01	0.02	0.04	0.04	0.02	0.02	0.04	0.02	0.02	0.03	0.03	0.01	NA	0.02	0.02	0.01	0.01	0.02	0.01	0.03
NM_001145355.1|CBWD1|chr9|-	3918.6	121410	chr9:121038-121573	0.45	0.34	0.49	0.52	0.35	0.36	0.68	0.39	0.67	0.45	0.39	0.59	0.65	0.74	NA	0.60	0.57	0.58	0.68	0.56	0.61	0.41	0.48	0.39	NA	NA	NA	0.55	0.62	0.48	0.43	0.35	0.47	0.54	0.46	0.33	0.44	0.64	0.67	0.49	0.69	0.66	0.48	0.60	0.45	0.62	1.00	0.83	0.80	0.58	0.52	0.55	0.48	0.50	0.71	0.49	0.36	0.47	0.40	NA	0.32	0.41	0.49	0.43	0.49	0.38	0.61
XM_011517963.1|CBWD1|chr9|-	3809.0	121410	chr9:121042-121573	0.44	0.32	0.47	0.51	0.34	0.35	0.66	0.37	0.65	0.44	0.37	0.57	0.63	0.71	NA	0.58	0.55	0.56	0.66	0.54	0.59	0.39	0.46	0.37	NA	NA	NA	0.53	0.60	0.47	0.41	0.34	0.46	0.53	0.45	0.32	0.43	0.62	0.65	0.47	0.66	0.64	0.47	0.58	0.43	0.59	1.00	0.80	0.77	0.56	0.50	0.53	0.46	0.48	0.68	0.47	0.35	0.45	0.38	NA	0.31	0.40	0.47	0.41	0.48	0.36	0.59
XM_017015031.1|CBWD6|chr9|-	3757.7	41131677	chr9:41131309-41131840	0.61	0.42	0.54	0.49	0.35	0.37	0.54	0.28	0.47	0.36	NA	0.66	0.70	0.85	0.71	0.60	0.52	0.66	0.54	0.43	0.68	0.42	0.41	0.39	0.10	0.10	NA	0.41	0.55	0.43	0.45	0.32	0.44	0.43	0.39	NA	0.52	0.51	0.54	0.49	0.64	0.54	0.38	0.37	0.39	0.46	1.00	NA	1.00	0.53	0.48	0.57	0.45	0.36	0.39	0.45	0.37	0.34	0.28	0.49	0.39	0.53	0.63	0.41	0.47	0.36	0.57
XM_017014457.1|CBWD5|chr9|+	727.5	65733672	chr9:65733510-65734041	0.02	0.03	0.00	0.03	0.01	0.02	0.01	0.02	0.04	0.01	0.00	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.01	0.04	0.02	0.01	0.02	0.02	0.00	0.12	NA	0.01	0.02	0.01	0.01	0.02	0.01	0.04	0.01	0.03	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.05	0.05	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.03	0.04	0.01	0.03	0.01	0.00	0.03	0.04	0.02
XM_005277640.2|CBWD3|chr9|+	3842.6	68299643	chr9:68299481-68300012	0.60	0.41	0.51	0.46	0.33	0.37	0.53	0.28	0.44	0.37	0.62	0.63	0.61	0.80	0.76	0.55	0.52	0.61	0.50	0.43	0.53	0.46	0.43	0.36	0.10	0.10	NA	0.41	0.56	0.40	0.43	0.36	0.41	0.40	0.38	NA	0.51	0.49	0.50	0.50	0.61	0.48	0.38	0.35	0.39	0.46	0.97	1.00	1.00	0.48	0.45	0.54	0.43	0.37	0.39	0.43	0.35	0.34	0.23	0.36	0.44	0.49	0.63	0.36	0.49	0.34	0.54
NM_001378115.1|CBWD3|chr9|+	4854.9	68299643	chr9:68299481-68300035	0.75	0.52	0.64	0.57	0.41	0.46	0.65	0.36	0.55	0.46	0.77	0.78	0.77	1.00	0.95	0.68	0.65	0.74	0.62	0.53	0.67	0.57	0.54	0.45	0.18	0.13	NA	0.50	0.70	0.50	0.53	0.44	0.50	0.49	0.47	NA	0.63	0.60	0.62	0.63	0.76	0.61	0.47	0.43	0.48	0.57	1.00	1.00	1.00	0.59	0.55	0.67	0.53	0.46	0.49	0.54	0.44	0.43	0.29	0.46	0.56	0.61	0.79	0.45	0.61	0.41	0.68
NM_015051.3|ERP44|chr9|-	947.3	99982481	chr9:99979185-99982713	0.04	0.02	NA	0.02	0.02	0.02	0.03	0.03	NA	0.02	NA	0.03	0.03	NA	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.02	NA	NA	NA	0.02	0.02	NA	NA	0.02	NA	0.03	0.01	0.03	0.03	0.02	0.03	NA	0.03	0.02	NA	0.03	0.03	0.03	NA	NA	0.03	0.03	0.03	0.03	NA	0.02	0.04	0.03	0.03	0.03	0.07	0.05	NA	0.02	0.02	0.02	0.02	0.03	0.02
XM_017015204.2|HSDL2|chr9|+	422.9	112470608	chr9:112470432-112472410	NA	0.20	NA	0.15	0.11	0.08	0.09	0.13	0.09	0.12	NA	0.16	0.12	0.19	NA	0.15	0.15	0.15	0.17	0.14	0.17	0.14	0.17	0.13	0.16	0.17	0.05	0.11	0.10	0.15	0.10	0.12	0.11	0.17	0.17	0.18	0.13	0.08	0.12	NA	0.25	0.13	0.11	0.15	0.12	0.16	0.26	NA	0.15	0.13	0.13	0.18	0.18	0.14	0.13	0.12	0.13	0.13	0.06	0.06	0.13	0.11	0.12	0.14	0.10	0.13	0.15
NM_001195822.2|HSDL2|chr9|+	423.8	112470608	chr9:112470432-112472405	NA	0.20	NA	0.15	0.11	0.08	0.09	0.13	0.09	0.12	NA	0.16	0.12	0.19	NA	0.15	0.15	0.15	0.17	0.14	0.17	0.14	0.17	0.13	0.16	0.17	0.05	0.11	0.10	0.15	0.10	0.12	0.11	0.17	0.17	0.18	0.13	0.08	0.12	NA	0.25	0.13	0.11	0.15	0.12	0.16	0.26	NA	0.15	0.13	0.13	0.18	0.18	0.14	0.13	0.12	0.13	0.13	0.06	0.06	0.13	0.11	0.12	0.14	0.10	0.13	0.15
XM_017014924.1|CDK5RAP2|chr9|-	1901.4	120389141	chr9:120388875-120389292	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.92	1.00	NA	0.49	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001318058.2|DMAC1|chr9|-	5166.1	7798343	chr9:7796500-7798637	0.01	0.01	0.02	0.01	NA	NA	0.01	NA	NA	0.01	NA	0.02	0.02	0.02	0.03	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.00	NA	NA	0.01	0.02	0.01	0.01	0.01	0.01	0.01	NA	0.02	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	0.02	0.02	0.02	0.02	0.02	0.01	NA	0.01	0.02	0.01	0.01	NA	0.00	NA	NA	0.01	0.01	0.01	0.01	0.01
NM_001010.3|RPS6|chr9|-	3981903.6	19376237	chr9:19375715-19376388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
XM_024447368.1|SMIM27|chr9|+	5435.9	32552953	chr9:32552801-32553001	1.00	1.00	1.00	NA	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00
NM_001349118.1|SMIM27|chr9|+	5435.9	32552953	chr9:32552801-32553001	1.00	1.00	1.00	NA	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00
NM_002493.5|NDUFB6|chr9|-	803.7	32553763	chr9:32553017-32553944	0.06	0.03	0.07	0.03	0.07	0.03	0.06	0.03	0.10	0.06	NA	0.08	0.04	0.04	0.05	0.06	0.04	0.04	0.06	0.05	0.05	0.06	0.04	0.05	NA	NA	NA	0.03	0.03	0.04	0.04	0.05	0.06	0.06	0.05	0.04	0.07	0.05	0.04	0.03	0.05	0.08	0.03	0.06	0.04	0.08	0.06	0.05	0.06	0.05	0.05	0.03	0.05	0.03	0.06	0.03	0.03	0.04	0.09	0.03	NA	0.06	0.06	0.05	0.06	0.04	0.05
NM_001172415.2|BAG1|chr9|-	8929.2	33255024	chr9:33252471-33255308	NA	NA	NA	0.00	NA	NA	0.00	NA	NA	0.00	NA	0.00	0.01	0.01	NA	0.00	0.00	0.00	0.00	NA	0.01	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	NA	NA	0.00	NA	0.00	0.00	NA	0.00	NA	NA	0.00	NA	0.00	NA	0.00	NA	NA	NA	0.00	0.00	0.00	0.01	NA	0.00	NA	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00
NM_001258332.2|GALT|chr9|+	1449.8	34650581	chr9:34650369-34651035	0.00	NA	0.02	NA	NA	NA	0.01	0.03	NA	0.02	NA	0.02	0.01	0.01	0.01	0.03	0.02	0.01	0.05	0.00	0.02	0.03	NA	0.02	NA	NA	NA	0.02	0.03	NA	0.04	NA	0.03	0.03	NA	NA	0.01	0.01	0.03	0.02	0.03	0.03	0.02	0.02	0.04	0.02	0.01	0.02	0.01	0.02	0.02	0.00	0.04	NA	0.03	NA	NA	0.02	0.01	0.11	NA	0.01	0.00	0.02	0.04	NA	0.05
NM_001287032.1|STOML2|chr9|-	793719.3	35099895	chr9:35099776-35100172	0.04	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.05	0.04	NA	NA	NA	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.02	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.05
NM_013442.3|STOML2|chr9|-	798784.5	35099895	chr9:35099778-35100172	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	NA	NA	NA	0.04	0.04	0.04	0.05	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.05	0.04	0.04	0.05
NM_001134484.2|TOMM5|chr9|-	9511.9	37588727	chr9:37588413-37588932	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00
XM_017014577.1|ANKRD18A|chr9|-	53.4	38596252	chr9:38594550-38596403	NA	NA	NA	NA	0.10	NA	0.10	0.06	NA	0.07	NA	NA	NA	NA	NA	0.04	NA	NA	0.12	NA	NA	0.06	NA	0.03	NA	0.02	0.09	0.12	0.14	0.08	0.07	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	0.09	NA	NA	0.06	NA	NA	0.07	0.08	0.08	0.10	0.08	0.07	0.05	0.03	0.08
NM_001286836.2|CBWD5|chr9|+	100833.5	65681768	chr9:65681574-65681830	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.50	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_000689.5|ALDH1A1|chr9|-	2256.7	72901129	chr9:72900671-72901280	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	0.77	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	1.00	1.00	NA	1.00
