Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001305581.2|LRMDA|chr10|+	28.9	76557366	chr10:76557209-76560168	0.00	NA	NA	0.00	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	NA	NA	0.00	0.00	NA	NA	0.00	NA	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	NA	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	NA	0.00	NA	NA	0.00	0.00	NA	NA
NM_017626.7|DNAJB12|chr10|-	38.1	72334466	chr10:72332863-72334617	0.09	NA	0.06	NA	NA	NA	0.04	0.05	NA	0.08	NA	NA	0.02	NA	NA	0.06	0.06	0.04	0.04	0.02	0.04	0.06	0.03	NA	NA	NA	0.00	0.09	0.12	0.05	0.03	0.05	0.08	NA	NA	0.07	0.05	0.05	0.07	NA	NA	0.04	0.03	0.09	0.05	0.05	NA	NA	NA	0.03	0.06	0.07	0.04	NA	0.06	0.10	0.05	0.09	0.00	0.00	0.11	0.05	0.08	0.02	0.05	0.09	0.07
XM_017015705.1|ADK|chr10|+	543.7	74708699	chr10:74708321-74709300	0.09	0.11	0.08	0.04	0.08	0.10	0.04	0.06	0.10	0.07	NA	0.06	0.02	0.05	0.09	0.04	0.08	0.05	0.10	0.08	0.09	0.10	0.11	0.08	NA	0.00	NA	0.09	0.08	0.07	0.10	0.07	0.05	0.08	0.04	0.07	0.05	0.05	0.08	0.08	0.11	0.07	0.07	0.04	0.04	0.05	0.07	0.11	0.04	0.03	0.09	0.05	0.05	0.06	0.07	0.06	0.07	0.09	0.04	NA	0.12	0.09	0.04	0.11	0.08	0.10	0.09
NM_001202450.2|ADK|chr10|+	549.1	74708699	chr10:74708321-74709290	0.10	0.11	0.08	0.04	0.08	0.10	0.04	0.06	0.10	0.07	NA	0.06	0.02	0.06	0.10	0.04	0.08	0.06	0.11	0.08	0.09	0.10	0.11	0.08	NA	0.00	NA	0.09	0.08	0.07	0.10	0.07	0.05	0.08	0.04	0.07	0.05	0.05	0.08	0.08	0.11	0.07	0.07	0.04	0.04	0.05	0.07	0.11	0.04	0.03	0.09	0.06	0.05	0.07	0.07	0.06	0.07	0.09	0.04	NA	0.12	0.09	0.04	0.11	0.09	0.10	0.09
XM_017015702.1|ADK|chr10|+	728.5	74708699	chr10:74708321-74709029	0.03	0.05	0.03	0.02	0.04	0.03	0.02	0.02	0.07	0.04	NA	0.03	0.01	0.05	0.07	0.03	0.04	0.03	0.04	0.05	0.03	0.06	0.04	0.04	NA	0.00	NA	0.04	0.04	0.02	0.02	0.01	0.01	0.04	0.02	0.04	0.03	0.02	0.03	0.04	0.05	0.02	0.07	0.03	0.02	0.05	0.04	0.06	0.04	0.02	0.03	0.01	0.01	0.04	0.01	0.03	0.01	0.04	0.01	NA	0.01	0.04	0.03	0.04	0.05	0.05	0.03
NM_001353.6|AKR1C1|chr10|+	1005367.2	4977965	chr10:4977700-4983283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_002216.3|ITIH2|chr10|+	3364367.7	7749338	chr10:7749187-7749520	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001321648.2|NUDT5|chr10|-	1204.2	12167574	chr10:12165407-12167811	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	NA	0.02	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	NA	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	NA	0.03	0.01	0.01	0.01	0.01	0.02	0.02
NM_021980.4|OPTN|chr10|+	1273.0	13136920	chr10:13136745-13138276	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.04	0.02	0.04	0.06	0.02	0.02	0.03	0.02	0.02	0.03	0.03	0.03	0.02	0.01	0.03	0.01	0.02	0.03	0.03	0.02	0.02	0.03	0.02	0.03	0.04	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.03
NM_001008212.2|OPTN|chr10|+	1248.0	13136920	chr10:13136745-13138308	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.03	0.02	0.04	0.06	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.02	0.01	0.03	0.01	0.02	0.03	0.03	0.02	0.02	0.03	0.02	0.03	0.04	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.03	0.02	0.03	0.03	0.03
